ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_NUMBER,BRANCH_CODE,BALANCE,STATUS,OPENED_DATE,CREATED_AT
ACCT_00000034,CUST_000017,CHECKING,437778016,BR_02,471760.22,ACTIVE,2024-08-21,2026-09-20T15:49:40.214642
ACCT_00000035,CUST_000018,SAVINGS,637102932,BR_04,157304.77,INACTIVE,2022-07-27,2026-09-20T15:49:40.214652
ACCT_00000036,CUST_000018,SAVINGS,239067697,BR_12,337375.74,INACTIVE,2024-05-09,2026-09-20T15:49:40.214655
ACCT_00000037,CUST_000019,MONEY_MARKET,208451023,BR_09,403766.42,ACTIVE,2026-07-04,2026-09-20T15:49:40.214665
ACCT_00000038,CUST_000019,MONEY_MARKET,954772900,BR_07,238528.82,ACTIVE,2025-01-04,2026-09-20T15:49:40.214668
ACCT_00000039,CUST_000019,CHECKING,262712486,BR_11,231606.8,CLOSED,2026-02-11,2026-09-20T15:49:40.214671
ACCT_00000040,CUST_000020,CHECKING,331549411,BR_13,340761.72,ACTIVE,2022-04-30,2026-09-20T15:49:40.214681
ACCT_00000041,CUST_000020,MONEY_MARKET,272922927,BR_09,258198.77,CLOSED,2023-03-24,2026-09-20T15:49:40.214684
ACCT_00000042,CUST_000020,MONEY_MARKET,661875225,BR_15,384341.24,INACTIVE,2022-03-27,2026-09-20T15:49:40.214688
ACCT_00000043,CUST_000021,SAVINGS,412288779,BR_06,311773.04,INACTIVE,2026-06-01,2026-09-20T15:49:40.214698
ACCT_00000044,CUST_000022,MONEY_MARKET,516219135,BR_04,104489.44,CLOSED,2023-03-28,2026-09-20T15:49:40.214708
ACCT_00000045,CUST_000022,CHECKING,263639767,BR_10,313932.04,INACTIVE,2026-02-03,2026-09-20T15:49:40.214711
ACCT_00000046,CUST_000022,CHECKING,253139764,BR_13,435241.69,CLOSED,2021-10-10,2026-09-20T15:49:40.214714
ACCT_00000047,CUST_000023,SAVINGS,201054129,BR_08,156927.98,INACTIVE,2025-09-25,2026-09-20T15:49:40.214724
ACCT_00000048,CUST_000024,SAVINGS,719024641,BR_06,176748.9,ACTIVE,2025-08-20,2026-09-20T15:49:40.214734
ACCT_00000049,CUST_000025,SAVINGS,376965362,BR_08,489244.03,INACTIVE,2022-12-29,2026-09-20T15:49:40.214745
ACCT_00000050,CUST_000025,CHECKING,233107713,BR_10,244180.67,INACTIVE,2021-10-27,2026-09-20T15:49:40.214748
ACCT_00000051,CUST_000025,SAVINGS,530505206,BR_07,428514.78,CLOSED,2025-11-30,2026-09-20T15:49:40.214751
ACCT_00000052,CUST_000026,SAVINGS,650270404,BR_14,312353.49,INACTIVE,2024-07-17,2026-09-20T15:49:40.214761
ACCT_00000053,CUST_000026,CHECKING,832507637,BR_07,253020.62,INACTIVE,2021-09-23,2026-09-20T15:49:40.214764
ACCT_00000054,CUST_000027,CHECKING,766378908,BR_11,28623.63,ACTIVE,2022-09-18,2026-09-20T15:49:40.214775
ACCT_00000055,CUST_000027,MONEY_MARKET,108528676,BR_03,426544.59,INACTIVE,2024-07-13,2026-09-20T15:49:40.214778
ACCT_00000056,CUST_000027,CHECKING,712176430,BR_07,426929.21,ACTIVE,2024-06-17,2026-09-20T15:49:40.214781
ACCT_00000057,CUST_000028,MONEY_MARKET,200398208,BR_06,232992.21,CLOSED,2023-08-22,2026-09-20T15:49:40.214791
ACCT_00000058,CUST_000028,SAVINGS,217165692,BR_02,90218.65,ACTIVE,2024-05-31,2026-09-20T15:49:40.214794
ACCT_00000059,CUST_000029,CHECKING,531129323,BR_06,32329.32,INACTIVE,2023-04-02,2026-09-20T15:49:40.214804
ACCT_00000060,CUST_000029,SAVINGS,328315290,BR_12,370668.25,ACTIVE,2025-01-28,2026-09-20T15:49:40.214807
ACCT_00000061,CUST_000030,CHECKING,685276505,BR_03,474271.99,ACTIVE,2023-01-18,2026-09-20T15:49:40.214817
ACCT_00000062,CUST_000030,CHECKING,443797765,BR_10,15758.49,CLOSED,2022-04-19,2026-09-20T15:49:40.214820
ACCT_00000063,CUST_000031,CHECKING,968156321,BR_06,394800.61,INACTIVE,2025-06-10,2026-09-20T15:49:40.214830
ACCT_00000064,CUST_000031,CHECKING,327088752,BR_14,11569.07,CLOSED,2024-04-07,2026-09-20T15:49:40.214833
ACCT_00000065,CUST_000032,SAVINGS,782564037,BR_03,41887.28,ACTIVE,2025-02-07,2026-09-20T15:49:40.214843
ACCT_00000066,CUST_000032,SAVINGS,187734495,BR_05,436900.57,INACTIVE,2021-10-02,2026-09-20T15:49:40.214846
ACCT_00000067,CUST_000033,MONEY_MARKET,329893386,BR_11,446547.39,ACTIVE,2021-12-25,2026-09-20T15:49:40.214856
ACCT_00000068,CUST_000033,CHECKING,199258043,BR_15,450830.7,INACTIVE,2022-06-01,2026-09-20T15:49:40.214859
ACCT_00000069,CUST_000034,CHECKING,313250824,BR_06,470976.63,INACTIVE,2023-12-22,2026-09-20T15:49:40.214869
ACCT_00000070,CUST_000034,MONEY_MARKET,839626111,BR_13,80428.51,CLOSED,2024-03-10,2026-09-20T15:49:40.214872
ACCT_00000071,CUST_000035,MONEY_MARKET,712373077,BR_07,411525.55,CLOSED,2022-04-01,2026-09-20T15:49:40.214882
ACCT_00000072,CUST_000035,MONEY_MARKET,313202153,BR_02,361389.57,CLOSED,2023-03-08,2026-09-20T15:49:40.214885
ACCT_00000073,CUST_000036,SAVINGS,813032149,BR_14,469490.63,CLOSED,2022-01-04,2026-09-20T15:49:40.214895
ACCT_00000074,CUST_000037,MONEY_MARKET,439855707,BR_01,75338.09,INACTIVE,2025-10-23,2026-09-20T15:49:40.214905
ACCT_00000075,CUST_000037,SAVINGS,439740334,BR_02,396029.21,CLOSED,2024-05-11,2026-09-20T15:49:40.214908
ACCT_00000076,CUST_000037,SAVINGS,659088455,BR_12,1938.08,INACTIVE,2021-12-21,2026-09-20T15:49:40.214910
ACCT_00000077,CUST_000038,MONEY_MARKET,582462965,BR_11,484731.81,ACTIVE,2026-06-08,2026-09-20T15:49:40.214920
ACCT_00000078,CUST_000039,MONEY_MARKET,301495110,BR_07,348253.4,ACTIVE,2023-04-09,2026-09-20T15:49:40.214933
ACCT_00000079,CUST_000040,CHECKING,473754019,BR_04,476193.2,CLOSED,2023-05-28,2026-09-20T15:49:40.214943
ACCT_00000080,CUST_000040,CHECKING,497559799,BR_14,181960.85,INACTIVE,2024-12-01,2026-09-20T15:49:40.214946
ACCT_00000081,CUST_000041,CHECKING,850886071,BR_08,324490.95,INACTIVE,2024-04-26,2026-09-20T15:49:40.214956
ACCT_00000082,CUST_000041,SAVINGS,477666117,BR_06,414110.11,INACTIVE,2023-09-15,2026-09-20T15:49:40.214959
ACCT_00000083,CUST_000041,SAVINGS,221740845,BR_15,87989.32,INACTIVE,2024-07-18,2026-09-20T15:49:40.214962
ACCT_00000084,CUST_000042,MONEY_MARKET,738760216,BR_03,271427.16,INACTIVE,2025-01-15,2026-09-20T15:49:40.214972
ACCT_00000085,CUST_000043,MONEY_MARKET,830447058,BR_07,317090.21,CLOSED,2023-02-28,2026-09-20T15:49:40.215012
ACCT_00000086,CUST_000043,CHECKING,194081451,BR_13,418633.53,ACTIVE,2022-12-30,2026-09-20T15:49:40.215015
ACCT_00000087,CUST_000043,CHECKING,761704528,BR_15,205698.7,INACTIVE,2022-06-08,2026-09-20T15:49:40.215018
ACCT_00000088,CUST_000044,MONEY_MARKET,207054287,BR_11,222107.27,CLOSED,2022-02-13,2026-09-20T15:49:40.215028
ACCT_00000089,CUST_000044,CHECKING,816948303,BR_05,425867.46,ACTIVE,2025-05-22,2026-09-20T15:49:40.215031
ACCT_00000090,CUST_000044,SAVINGS,692263008,BR_07,57339.1,INACTIVE,2025-12-10,2026-09-20T15:49:40.215034
ACCT_00000091,CUST_000045,SAVINGS,543385303,BR_15,410226.95,CLOSED,2022-03-29,2026-09-20T15:49:40.215044
ACCT_00000092,CUST_000045,MONEY_MARKET,524996202,BR_01,469814.44,ACTIVE,2023-10-17,2026-09-20T15:49:40.215047
ACCT_00000093,CUST_000046,SAVINGS,807254247,BR_05,153767.6,INACTIVE,2022-11-12,2026-09-20T15:49:40.215057
ACCT_00000094,CUST_000046,CHECKING,104464143,BR_15,454538.62,ACTIVE,2026-07-21,2026-09-20T15:49:40.215061
ACCT_00000095,CUST_000047,CHECKING,948803790,BR_06,420400.74,CLOSED,2022-01-15,2026-09-20T15:49:40.215071
ACCT_00000096,CUST_000048,MONEY_MARKET,440881854,BR_06,85288.33,CLOSED,2024-03-24,2026-09-20T15:49:40.215081
ACCT_00000097,CUST_000048,CHECKING,696720830,BR_07,96410.94,CLOSED,2024-06-07,2026-09-20T15:49:40.215084
ACCT_00000098,CUST_000048,CHECKING,960423299,BR_15,288969.02,ACTIVE,2023-01-26,2026-09-20T15:49:40.215087
ACCT_00000099,CUST_000049,MONEY_MARKET,286527496,BR_07,452095.27,CLOSED,2025-10-01,2026-09-20T15:49:40.215097
ACCT_00000100,CUST_000049,SAVINGS,348001621,BR_02,355041.43,ACTIVE,2023-10-24,2026-09-20T15:49:40.215100
ACCT_00000101,CUST_000050,MONEY_MARKET,719477895,BR_13,196066.89,CLOSED,2025-03-07,2026-09-20T15:49:40.215110
ACCT_00000102,CUST_000051,CHECKING,446179340,BR_04,46717.89,ACTIVE,2024-03-09,2026-09-20T15:49:40.215120
ACCT_00000103,CUST_000051,CHECKING,775269926,BR_13,296684.77,ACTIVE,2023-03-05,2026-09-20T15:49:40.215123
ACCT_00000104,CUST_000051,MONEY_MARKET,683763884,BR_15,486202.7,CLOSED,2024-06-29,2026-09-20T15:49:40.215126
ACCT_00000105,CUST_000052,MONEY_MARKET,888308138,BR_03,491708.75,CLOSED,2023-02-05,2026-09-20T15:49:40.215136
ACCT_00000106,CUST_000053,CHECKING,357399415,BR_11,448964.83,INACTIVE,2025-07-21,2026-09-20T15:49:40.215146
ACCT_00000107,CUST_000053,MONEY_MARKET,363339926,BR_12,390036.47,INACTIVE,2022-04-27,2026-09-20T15:49:40.215149
ACCT_00000108,CUST_000054,MONEY_MARKET,155564923,BR_05,41573.39,ACTIVE,2023-02-14,2026-09-20T15:49:40.215159
ACCT_00000109,CUST_000054,CHECKING,785462357,BR_10,433482.83,ACTIVE,2024-01-24,2026-09-20T15:49:40.215162
ACCT_00000110,CUST_000055,CHECKING,214972684,BR_03,141303.27,ACTIVE,2026-02-12,2026-09-20T15:49:40.215173
ACCT_00000111,CUST_000055,CHECKING,630691582,BR_14,180762.52,ACTIVE,2024-06-12,2026-09-20T15:49:40.215176
ACCT_00000112,CUST_000055,CHECKING,627246915,BR_13,11076.29,ACTIVE,2023-11-29,2026-09-20T15:49:40.215179
ACCT_00000113,CUST_000056,CHECKING,325803577,BR_11,210011.57,INACTIVE,2023-02-01,2026-09-20T15:49:40.215189
ACCT_00000114,CUST_000056,SAVINGS,968172937,BR_03,89985.24,ACTIVE,2025-08-21,2026-09-20T15:49:40.215192
ACCT_00000115,CUST_000056,MONEY_MARKET,709127131,BR_11,303366.76,ACTIVE,2025-12-24,2026-09-20T15:49:40.215195
ACCT_00000116,CUST_000057,SAVINGS,619595468,BR_10,300036.43,ACTIVE,2025-10-01,2026-09-20T15:49:40.215205
ACCT_00000117,CUST_000057,MONEY_MARKET,896390906,BR_05,463298.93,ACTIVE,2023-03-29,2026-09-20T15:49:40.215208
ACCT_00000118,CUST_000058,MONEY_MARKET,124737048,BR_09,255921.19,ACTIVE,2025-06-05,2026-09-20T15:49:40.215219
ACCT_00000119,CUST_000059,CHECKING,332956649,BR_01,163837.11,ACTIVE,2026-03-04,2026-09-20T15:49:40.215228
ACCT_00000120,CUST_000059,MONEY_MARKET,842601693,BR_03,133868.51,INACTIVE,2025-07-09,2026-09-20T15:49:40.215232
ACCT_00000121,CUST_000060,SAVINGS,860298947,BR_09,325997.07,INACTIVE,2022-06-17,2026-09-20T15:49:40.215242
ACCT_00000122,CUST_000061,SAVINGS,650460773,BR_07,461181.81,INACTIVE,2025-09-01,2026-09-20T15:49:40.215252
ACCT_00000123,CUST_000061,CHECKING,837722327,BR_14,443668.71,INACTIVE,2024-06-08,2026-09-20T15:49:40.215255
ACCT_00000124,CUST_000062,MONEY_MARKET,951641794,BR_13,293830.69,ACTIVE,2022-03-09,2026-09-20T15:49:40.215264
ACCT_00000125,CUST_000063,MONEY_MARKET,623805398,BR_07,441440.38,INACTIVE,2023-04-18,2026-09-20T15:49:40.215274
ACCT_00000126,CUST_000064,SAVINGS,976057581,BR_06,311493.19,CLOSED,2024-06-28,2026-09-20T15:49:40.215284
ACCT_00000127,CUST_000064,SAVINGS,314448547,BR_10,176522.46,CLOSED,2022-01-16,2026-09-20T15:49:40.215287
ACCT_00000128,CUST_000064,CHECKING,582543215,BR_03,444735.9,CLOSED,2025-03-21,2026-09-20T15:49:40.215290
ACCT_00000129,CUST_000065,SAVINGS,415114820,BR_10,413360.54,CLOSED,2023-08-31,2026-09-20T15:49:40.215300
ACCT_00000130,CUST_000065,SAVINGS,527678529,BR_01,57413.51,INACTIVE,2024-03-25,2026-09-20T15:49:40.215303
ACCT_00000131,CUST_000065,CHECKING,484125249,BR_04,36412.9,CLOSED,2024-07-21,2026-09-20T15:49:40.215306
ACCT_00000132,CUST_000066,CHECKING,936997381,BR_06,61239.57,INACTIVE,2022-10-12,2026-09-20T15:49:40.215316
ACCT_00000133,CUST_000066,CHECKING,869660954,BR_06,106964.84,CLOSED,2022-03-07,2026-09-20T15:49:40.215319
ACCT_00000134,CUST_000067,CHECKING,703056990,BR_02,192856.88,CLOSED,2025-06-13,2026-09-20T15:49:40.215329
ACCT_00000135,CUST_000067,MONEY_MARKET,333499573,BR_02,280523.25,CLOSED,2023-03-26,2026-09-20T15:49:40.215332
ACCT_00000136,CUST_000068,CHECKING,716272392,BR_15,323170.43,CLOSED,2022-05-26,2026-09-20T15:49:40.215342
ACCT_00000137,CUST_000068,SAVINGS,441217210,BR_14,160128.69,ACTIVE,2026-05-12,2026-09-20T15:49:40.215345
ACCT_00000138,CUST_000068,SAVINGS,635422402,BR_01,495130.83,INACTIVE,2025-12-20,2026-09-20T15:49:40.215348
ACCT_00000139,CUST_000069,SAVINGS,283759887,BR_10,163504.69,INACTIVE,2025-04-24,2026-09-20T15:49:40.215358
ACCT_00000140,CUST_000070,CHECKING,406056061,BR_01,321868.94,CLOSED,2026-08-12,2026-09-20T15:49:40.215368
ACCT_00000141,CUST_000070,SAVINGS,405335473,BR_03,420837.27,INACTIVE,2026-06-07,2026-09-20T15:49:40.215371
ACCT_00000142,CUST_000070,MONEY_MARKET,666413507,BR_01,168761.2,ACTIVE,2026-04-01,2026-09-20T15:49:40.215374
ACCT_00000143,CUST_000071,CHECKING,991044883,BR_13,207597.93,INACTIVE,2025-02-05,2026-09-20T15:49:40.215384
ACCT_00000144,CUST_000071,SAVINGS,909270926,BR_06,200232.14,CLOSED,2022-04-18,2026-09-20T15:49:40.215387
ACCT_00000145,CUST_000072,SAVINGS,757474294,BR_01,196724.41,CLOSED,2024-02-03,2026-09-20T15:49:40.215396
ACCT_00000146,CUST_000072,SAVINGS,788372804,BR_15,60794.33,INACTIVE,2023-03-05,2026-09-20T15:49:40.215399
ACCT_00000147,CUST_000073,CHECKING,340533586,BR_01,412745.72,ACTIVE,2026-01-18,2026-09-20T15:49:40.215409
ACCT_00000148,CUST_000074,MONEY_MARKET,877661121,BR_07,113247.99,ACTIVE,2025-07-26,2026-09-20T15:49:40.215419
ACCT_00000149,CUST_000074,MONEY_MARKET,972181149,BR_06,408092.19,CLOSED,2026-08-11,2026-09-20T15:49:40.215422
ACCT_00000150,CUST_000075,CHECKING,378837532,BR_15,392493.52,ACTIVE,2026-05-15,2026-09-20T15:49:40.215432
ACCT_00000151,CUST_000075,SAVINGS,180575920,BR_05,164731.55,CLOSED,2022-03-14,2026-09-20T15:49:40.215435
ACCT_00000152,CUST_000075,SAVINGS,389815857,BR_12,85252.28,ACTIVE,2023-05-15,2026-09-20T15:49:40.215438
ACCT_00000153,CUST_000076,CHECKING,235601470,BR_06,430961.26,CLOSED,2021-11-14,2026-09-20T15:49:40.215448
ACCT_00000154,CUST_000076,SAVINGS,783870083,BR_08,334150.8,CLOSED,2023-09-06,2026-09-20T15:49:40.215451
ACCT_00000155,CUST_000077,MONEY_MARKET,613170015,BR_11,245102.91,INACTIVE,2024-10-31,2026-09-20T15:49:40.215461
ACCT_00000156,CUST_000078,SAVINGS,342483672,BR_02,131979.64,INACTIVE,2022-08-26,2026-09-20T15:49:40.215470
ACCT_00000157,CUST_000078,CHECKING,479041274,BR_09,417787.49,ACTIVE,2022-12-10,2026-09-20T15:49:40.215473
ACCT_00000158,CUST_000078,MONEY_MARKET,889488302,BR_14,103025.03,ACTIVE,2026-03-21,2026-09-20T15:49:40.215476
ACCT_00000159,CUST_000079,CHECKING,328143806,BR_01,335282.43,INACTIVE,2022-01-18,2026-09-20T15:49:40.215486
ACCT_00000160,CUST_000079,SAVINGS,301774803,BR_08,52356.91,ACTIVE,2022-01-27,2026-09-20T15:49:40.215489
ACCT_00000161,CUST_000080,MONEY_MARKET,651825253,BR_14,156748.18,INACTIVE,2022-08-31,2026-09-20T15:49:40.215499
ACCT_00000162,CUST_000080,SAVINGS,803611574,BR_03,423918.71,ACTIVE,2025-11-28,2026-09-20T15:49:40.215502
ACCT_00000163,CUST_000080,CHECKING,490459543,BR_07,487534.84,CLOSED,2023-10-05,2026-09-20T15:49:40.215505
ACCT_00000164,CUST_000081,SAVINGS,301813509,BR_02,138991.43,ACTIVE,2022-10-16,2026-09-20T15:49:40.215514
ACCT_00000165,CUST_000082,MONEY_MARKET,796195906,BR_02,73730.14,ACTIVE,2022-06-18,2026-09-20T15:49:40.215524
ACCT_00000166,CUST_000082,CHECKING,358301976,BR_01,447059.62,ACTIVE,2025-02-21,2026-09-20T15:49:40.215527
ACCT_00000167,CUST_000083,SAVINGS,810694145,BR_09,226375.19,INACTIVE,2025-12-22,2026-09-20T15:49:40.215537
ACCT_00000168,CUST_000084,CHECKING,480562915,BR_07,106111.81,INACTIVE,2023-10-28,2026-09-20T15:49:40.215549
ACCT_00000169,CUST_000084,SAVINGS,645382272,BR_06,26673.22,INACTIVE,2024-07-25,2026-09-20T15:49:40.215552
ACCT_00000170,CUST_000084,CHECKING,152757656,BR_11,191323.01,INACTIVE,2025-07-20,2026-09-20T15:49:40.215555
ACCT_00000171,CUST_000085,CHECKING,532387352,BR_03,297065.18,CLOSED,2023-03-26,2026-09-20T15:49:40.215565
ACCT_00000172,CUST_000085,SAVINGS,656862328,BR_07,54681.36,ACTIVE,2023-01-06,2026-09-20T15:49:40.215568
ACCT_00000173,CUST_000086,CHECKING,335771983,BR_02,26663.57,ACTIVE,2023-05-31,2026-09-20T15:49:40.215577
ACCT_00000174,CUST_000087,CHECKING,170703095,BR_09,50605.89,ACTIVE,2023-02-28,2026-09-20T15:49:40.215588
ACCT_00000175,CUST_000087,MONEY_MARKET,868609437,BR_07,196014.85,ACTIVE,2025-05-28,2026-09-20T15:49:40.215591
ACCT_00000176,CUST_000088,MONEY_MARKET,388049441,BR_08,102932.12,ACTIVE,2024-09-09,2026-09-20T15:49:40.215600
ACCT_00000177,CUST_000088,MONEY_MARKET,409229641,BR_12,298197.07,CLOSED,2026-08-15,2026-09-20T15:49:40.215603
ACCT_00000178,CUST_000088,CHECKING,298726872,BR_09,453900.44,CLOSED,2023-12-19,2026-09-20T15:49:40.215606
ACCT_00000179,CUST_000089,SAVINGS,838665572,BR_04,85199.26,CLOSED,2026-04-01,2026-09-20T15:49:40.215616
ACCT_00000180,CUST_000089,CHECKING,301159530,BR_06,449944.62,ACTIVE,2026-07-26,2026-09-20T15:49:40.215619
ACCT_00000181,CUST_000089,MONEY_MARKET,609598611,BR_07,167093.67,ACTIVE,2025-02-27,2026-09-20T15:49:40.215622
ACCT_00000182,CUST_000090,CHECKING,829288603,BR_13,426559.52,CLOSED,2024-08-30,2026-09-20T15:49:40.215632
ACCT_00000183,CUST_000091,MONEY_MARKET,101080693,BR_08,436621.95,INACTIVE,2026-01-09,2026-09-20T15:49:40.215642
ACCT_00000184,CUST_000091,CHECKING,979315574,BR_01,283676.64,INACTIVE,2021-12-15,2026-09-20T15:49:40.215645
ACCT_00000185,CUST_000092,MONEY_MARKET,640249409,BR_03,377520.74,ACTIVE,2026-01-29,2026-09-20T15:49:40.215655
ACCT_00000186,CUST_000093,MONEY_MARKET,460430809,BR_08,245381.86,INACTIVE,2023-07-31,2026-09-20T15:49:40.215664
ACCT_00000187,CUST_000093,SAVINGS,812329472,BR_08,126843.07,INACTIVE,2026-07-25,2026-09-20T15:49:40.215667
ACCT_00000188,CUST_000094,SAVINGS,862525433,BR_06,445697.07,CLOSED,2021-10-31,2026-09-20T15:49:40.215677
ACCT_00000189,CUST_000094,MONEY_MARKET,620072052,BR_02,135041.73,CLOSED,2022-07-22,2026-09-20T15:49:40.215680
ACCT_00000190,CUST_000095,CHECKING,258806824,BR_07,428147.14,CLOSED,2025-11-04,2026-09-20T15:49:40.215689
ACCT_00000191,CUST_000095,SAVINGS,634543293,BR_01,122259.47,CLOSED,2022-09-26,2026-09-20T15:49:40.215692
ACCT_00000192,CUST_000095,SAVINGS,485924214,BR_04,372208.12,ACTIVE,2024-07-09,2026-09-20T15:49:40.215695
ACCT_00000193,CUST_000096,CHECKING,394123530,BR_15,313483.16,CLOSED,2024-02-13,2026-09-20T15:49:40.215706
ACCT_00000194,CUST_000096,MONEY_MARKET,287853549,BR_05,455172.63,INACTIVE,2024-10-12,2026-09-20T15:49:40.215709
ACCT_00000195,CUST_000096,SAVINGS,732592673,BR_07,472638.72,INACTIVE,2024-11-26,2026-09-20T15:49:40.215712
ACCT_00000196,CUST_000097,CHECKING,722251460,BR_09,350947.63,CLOSED,2025-12-13,2026-09-20T15:49:40.215721
ACCT_00000197,CUST_000098,SAVINGS,708449151,BR_13,396191.02,INACTIVE,2026-01-08,2026-09-20T15:49:40.215731
ACCT_00000198,CUST_000098,CHECKING,635718802,BR_15,342794.8,INACTIVE,2022-10-27,2026-09-20T15:49:40.215734
ACCT_00000199,CUST_000099,MONEY_MARKET,411150812,BR_10,279114.61,ACTIVE,2024-12-08,2026-09-20T15:49:40.215746
ACCT_00000200,CUST_000100,SAVINGS,169381431,BR_13,147433.89,INACTIVE,2026-05-30,2026-09-20T15:49:40.215756
ACCT_00000201,CUST_000100,CHECKING,403887508,BR_14,296576.5,ACTIVE,2023-11-25,2026-09-20T15:49:40.215758
ACCT_00000202,CUST_000101,CHECKING,562055622,BR_06,330160.63,ACTIVE,2026-05-11,2026-09-20T15:49:40.215773
ACCT_00000203,CUST_000101,SAVINGS,247874417,BR_06,439373.18,CLOSED,2022-11-28,2026-09-20T15:49:40.215776
ACCT_00000204,CUST_000102,CHECKING,192345517,BR_12,135407.38,CLOSED,2025-07-15,2026-09-20T15:49:40.215786
ACCT_00000205,CUST_000102,SAVINGS,728380379,BR_15,40450.9,ACTIVE,2026-06-17,2026-09-20T15:49:40.215789
